f1|accuracy|precision|recall|dataset
0.7991806492209937|0.8029549651939196|0.8275820363920257|0.8029549651939196|Validação Cruzada
0.903748084561558|0.9037505327461287|0.9037916147919927|0.9037505327461287|Validação Cruzada
0.9374372615716005|0.9375621537150164|0.9410842474387551|0.9375621537150164|Validação Cruzada
0.933078636210903|0.9332244086097891|0.937023108975475|0.9332210978488259|Validação Cruzada
0.9337905656129147|0.9339347872415997|0.9377581240239914|0.933938107424954|Validação Cruzada
0.6142171581261094|0.7922722438851472|0.6900865770640904|0.5999839930593905|Teste
0.45967626180907145|0.7814604750088621|0.6936478155990351|0.5090207113804546|Teste
0.46749332067113886|0.7836760014179369|0.7479427549194991|0.5131845968411903|Teste
0.4613109591661441|0.7810173697270472|0.6745468693559113|0.509458501206123|Teste
0.4580665744346381|0.7811059907834101|0.6844136206434606|0.5082158824066115|Teste
